Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,271.200012,271.489990,270.029999,270.619995,249.394287,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,252.601395,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,253.421478,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,252.859360,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,255.614868,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,256.057190,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,256.573273,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,255.660904,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,257.246033,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,257.596252,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,257.411896,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,257.301300,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,256.822113,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,258.425629,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,257.485626,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,257.135437,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,255.578033,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,253.439926,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,252.933060,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,256.600983,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,257.568512,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,259.273468,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,259.107513,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,260.387726,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,261.331940,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,261.396667,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,260.609802,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,263.553406,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,258.480927,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,258.286560,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,260.211914,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,258.851196,72224700
